plus
BEGIN
290,195
294,194
296,193
299,193
300,193
301,193
302,193
303,192
304,192
304,193
303,193
208,118
208,133
207,141
207,146
207,150
206,160
205,169
204,184
204,197
204,205
204,211
204,217
204,224
204,236
204,247
204,257
204,262
204,268
204,277
204,279
204,283
204,289
204,293
204,297
204,299
204,301
204,303
204,304
204,305
204,306
204,307
205,307
205,306
END
BEGIN
140,270
159,266
167,265
174,262
183,260
191,257
200,254
212,251
224,248
235,245
245,242
255,240
261,238
268,237
275,235
280,233
286,232
290,230
294,229
296,229
298,228
300,228
301,227
302,227
303,227
304,226
304,227
305,227
306,227
212,169
212,183
212,187
212,191
212,195
212,200
213,204
213,209
214,213
215,218
215,223
216,228
218,241
220,253
224,265
226,277
228,287
231,296
232,301
234,307
235,311
236,314
236,316
236,317
236,318
236,319
237,320
237,321
238,322
239,324
END
BEGIN
52,201
64,200
67,200
69,199
74,198
81,197
90,196
96,195
104,193
111,193
118,192
125,190
132,189
140,189
147,188
153,186
160,185
163,185
165,185
168,185
172,185
176,184
178,184
179,184
180,184
181,183
184,183
185,183
186,183
187,183
188,183
120,134
121,146
121,149
121,150
122,155
123,159
124,166
124,173
125,181
127,187
128,193
128,201
130,208
131,215
132,222
133,229
134,237
135,244
136,249
136,255
137,259
138,261
138,263
138,265
139,266
139,267
139,268
139,269
140,270
140,271
END
BEGIN
99,234
116,233
120,232
124,231
132,230
142,229
156,226
168,223
181,221
194,218
205,215
216,213
226,209
236,207
244,205
250,203
256,202
260,201
264,200
266,199
267,198
268,198
269,197
270,197
163,141
165,157
166,165
167,174
168,184
168,193
169,203
171,213
172,221
172,230
172,234
172,238
172,241
172,245
172,248
172,251
173,256
173,259
173,261
173,262
173,264
173,265
173,266
173,267
173,268
173,269
173,270
173,271
174,271
174,272
174,273
174,275
175,277
175,278
176,279
176,280
176,281
176,282
176,283
176,284
176,285
176,286
177,286
177,287
